"lon","lat","cond","cond2","mmi"
-84.863652539,43.0441206645,"Fair",2,34.93
-84.0501716713,44.1003082038,"Good",3,52.8
-85.7933985641,43.420791172,"Good",3,64.33
-88.5344429699,46.8843259281,"Good",3,43.05
-85.1166058805,46.5548462524,"Fair",2,35.57
-83.4905581091,45.0829049554,"Good",3,47.05
-82.4853274176,42.9423776217,"Poor",1,11.22
-83.3109338197,42.5455915601,"Poor",1,19.58
-85.7282011237,42.6166865721,"Poor",1,11.53
-89.152598869,46.9449982952,"Poor",1,10.95
-85.4699052519,43.6756274329,"Good",3,44.32
-85.1856131102,42.9421965276,"Fair",2,25.53
-88.7408961737,46.7871158377,"Fair",2,29.6
-82.7824074771,43.6193531792,"Poor",1,14.75
-88.1707637903,46.6653182596,"Poor",1,21.32
-85.8759240838,46.1814838359,"Fair",2,26.2
-92.9180267629,44.5026739604,"Poor",1,22.03
-93.659783076,46.0646964371,"Poor",1,15.85
-92.2393369826,47.3717124014,"Poor",1,7.58
-96.8794711569,48.1795819394,"Fair",2,26.75
-92.9556193667,45.422016153,"Poor",1,10
-91.0056756266,47.6987531808,"Good",3,41.25
-94.5335395038,47.9412634504,"Fair",2,34.02
-92.6061793587,46.3712941974,"Good",3,67.83
-93.722164665,48.4851309876,"Good",3,43.98
-95.0462198574,43.7193997419,"Good",3,41.68
-93.9962357803,45.1247945817,"Poor",1,18.82
-93.5720509058,45.2972882233,"Good",3,47.68
-94.0407090998,43.7648152674,"Poor",1,23.23
-92.8115007827,46.9870185365,"Good",3,45.48
-94.3908515767,47.8933575756,"Good",3,44.9
-93.5331191321,44.7995598237,"Poor",1,10.13
-92.7952983349,45.5650917279,"Good",3,42.92
-94.3357010127,48.7030583821,"Fair",2,29.57
-93.982832922,44.8512707706,"Good",3,51.02
-94.2895912462,45.1924006201,"Good",3,38.95
-93.011627889,44.8065949776,"Poor",1,5.1
-94.060297267,43.9066845578,"Good",3,58.9
-93.7841619228,47.2730965729,"Fair",2,23.12
-92.3387368112,44.0415061506,"Fair",2,22.92
-94.0181697301,46.334076513,"Good",3,58.23
-92.4322187845,46.9481502448,"Good",3,50.32
-96.2033188109,47.2550790612,"Good",3,85.33
-95.7775732258,44.9429927683,"Good",3,45.25
-93.3900130639,45.5474351718,"Poor",1,6.98
-93.9393983682,44.3401455985,"Fair",2,23.78
-91.5336237761,47.7550185928,"Good",3,57.3
