DATE,UTC_TIME,MAG,LAT,LON,DEPTH
2019/07/04,20:45:26.71,3.1,35.70283,-117.4775,1.3
2019/07/04,20:55:25.07,3.4,35.71167,-117.48083,2.4
2019/07/04,20:57:12.36,2.54,35.6585,-117.532,8.7
2019/07/04,21:02:55.82,3.47,35.69,-117.48317,7.9
2019/07/04,21:07:08.60,2.52,35.5995,-117.59783,4.7
2019/07/04,21:23:15.05,2.8,35.69517,-117.48933,1.6
2019/07/04,21:26:35.00,2.98,35.67483,-117.52533,9.4
2019/07/04,21:32:46.06,2.62,35.725,-117.56917,2
2019/07/04,21:33:34.35,3.15,35.617,-117.58983,7.5
2019/07/04,21:40:33.42,3.44,35.67017,-117.51817,1.8
2019/07/04,21:41:59.83,2.74,35.71933,-117.53217,2.2
2019/07/04,21:46:34.03,2.5,35.70117,-117.47867,0.9
2019/07/04,21:47:04.37,3.25,35.6335,-117.606,9.7
2019/07/04,22:02:35.06,3.44,35.67683,-117.51283,2.9
2019/07/04,22:05:03.21,2.78,35.65717,-117.5325,8.5
2019/07/04,22:05:22.27,3.56,35.7115,-117.477,1.3
2019/07/04,22:12:08.28,4.47,35.74433,-117.56633,2
2019/07/04,22:29:06.56,2.51,35.70383,-117.495,9.8
2019/07/04,22:30:07.88,2.62,35.70083,-117.48933,1.9
2019/07/04,22:30:16.13,2.87,35.04867,-118.93217,6.5
2019/07/04,22:42:21.78,3.23,35.72217,-117.5235,4.4
2019/07/04,23:07:10.78,2.59,35.70417,-117.48867,1.9
2019/07/04,23:12:40.40,3.53,35.67317,-117.47133,9
2019/07/04,23:13:05.01,3.04,35.74617,-117.5775,4.4
2019/07/04,23:34:00.63,3.82,35.66233,-117.5245,2.6
2019/07/04,23:34:02.38,4.04,35.60117,-117.61067,4.8
2019/07/04,23:42:33.83,3.72,35.74783,-117.56783,4.4
2019/07/04,23:54:36.39,3.39,35.656,-117.52333,1.7
2019/07/05,00:14:05.64,2.76,35.64583,-117.54717,0.3
2019/07/05,00:18:01.41,4.04,35.77183,-117.61783,2.6
2019/07/05,00:28:49.03,2.8,35.7215,-117.5465,7
2019/07/05,00:32:06.67,4.02,35.70333,-117.48283,1
